year,country,product,tariff_rate
2018,US,Steel,25
2018,US,Aircraft,10
2018,US,LNG,0
2018,US,Semiconductors,0
2018,EU,Automobiles,10
2018,EU,Steel,10
2018,EU,Wine,5
2018,EU,Chemicals,5
2019,US,Steel,25
2019,US,Aircraft,10
2019,US,LNG,0
2019,US,Semiconductors,0
2019,EU,Automobiles,10
2019,EU,Steel,10
2019,EU,Wine,5
2019,EU,Chemicals,5
2020,US,Steel,25
2020,US,Aircraft,10
2020,US,LNG,0
2020,US,Semiconductors,0
2020,EU,Automobiles,10
2020,EU,Steel,10
2020,EU,Wine,5
2020,EU,Chemicals,5
2021,US,Steel,25
2021,US,Aircraft,10
2021,US,LNG,0
2021,US,Semiconductors,0
2021,EU,Automobiles,10
2021,EU,Steel,10
2021,EU,Wine,5
2021,EU,Chemicals,5
2022,US,Steel,15
2022,US,Aircraft,10
2022,US,LNG,0
2022,US,Semiconductors,0
2022,EU,Automobiles,10
2022,EU,Steel,10
2022,EU,Wine,5
2022,EU,Chemicals,5
2023,US,Steel,10
2023,US,Aircraft,5
2023,US,LNG,0
2023,US,Semiconductors,0
2023,EU,Automobiles,10
2023,EU,Steel,5
2023,EU,Wine,5
2023,EU,Chemicals,0
2024,US,Steel,5
2024,US,Aircraft,0
2024,US,LNG,0
2024,US,Semiconductors,0
2024,EU,Automobiles,5
2024,EU,Steel,0
2024,EU,Wine,5
2024,EU,Chemicals,0
